"Step","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MIN","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MAX","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MIN","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MAX","2025-05-08_23-04-13_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_3407 - eval/avg episode reward","2025-05-08_23-04-13_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_3407 - eval/avg episode reward__MIN","2025-05-08_23-04-13_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_3407 - eval/avg episode reward__MAX","2025-05-08_23-04-05_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_42 - eval/avg episode reward","2025-05-08_23-04-05_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_42 - eval/avg episode reward__MIN","2025-05-08_23-04-05_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_42 - eval/avg episode reward__MAX","2025-05-08_23-03-55_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_0 - eval/avg episode reward","2025-05-08_23-03-55_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_0 - eval/avg episode reward__MIN","2025-05-08_23-03-55_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_0 - eval/avg episode reward__MAX","2025-05-08_23-03-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward","2025-05-08_23-03-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward__MIN","2025-05-08_23-03-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward__MAX","2025-05-08_23-03-41_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward","2025-05-08_23-03-41_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward__MIN","2025-05-08_23-03-41_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward__MAX","2025-05-08_23-03-33_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward","2025-05-08_23-03-33_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward__MIN","2025-05-08_23-03-33_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward__MAX","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"0","1.6125","1.6125","1.6125","1.5875","1.5875","1.5875","1.6875","1.6875","1.6875","1.5625","1.5625","1.5625","1.6625","1.6625","1.6625","1.5125","1.5125","1.5125","1.3375","1.3375","1.3375","1.6875","1.6875","1.6875","1.6125","1.6125","1.6125"
"10","1.925","1.925","1.925","1.675","1.675","1.675","1.6875","1.6875","1.6875","1.7375","1.7375","1.7375","1.8375","1.8375","1.8375","1.825","1.825","1.825","1.7875","1.7875","1.7875","1.9125","1.9125","1.9125","2.088888888888889","2.088888888888889","2.088888888888889"
"20","2.1125","2.1125","2.1125","1.9375","1.9375","1.9375","1.8375","1.8375","1.8375","2.05","2.05","2.05","1.85","1.85","1.85","1.9","1.9","1.9","1.8625","1.8625","1.8625","2.1375","2.1375","2.1375","2.736842105263158","2.736842105263158","2.736842105263158"
"30","2.225","2.225","2.225","2.45","2.45","2.45","2.0375","2.0375","2.0375","1.875","1.875","1.875","1.875","1.875","1.875","1.7875","1.7875","1.7875","1.825","1.825","1.825","2.35","2.35","2.35","3.3660714285714284","3.3660714285714284","3.3660714285714284"
"40","2.45","2.45","2.45","2.725","2.725","2.725","2.175","2.175","2.175","2","2","2","2.1875","2.1875","2.1875","1.9125","1.9125","1.9125","1.875","1.875","1.875","2.5125","2.5125","2.5125","3.591666666666667","3.591666666666667","3.591666666666667"
"50","2.625","2.625","2.625","2.9125","2.9125","2.9125","2.1625","2.1625","2.1625","2","2","2","2.0625","2.0625","2.0625","1.9125","1.9125","1.9125","1.9625","1.9625","1.9625","2.8125","2.8125","2.8125","3.705426356589147","3.705426356589147","3.705426356589147"
"60","2.8875","2.8875","2.8875","2.8875","2.8875","2.8875","2.2375","2.2375","2.2375","2.2125","2.2125","2.2125","2.0625","2.0625","2.0625","2","2","2","1.925","1.925","1.925","2.8375","2.8375","2.8375","3.7593984962406015","3.7593984962406015","3.7593984962406015"
"70","2.9","2.9","2.9","2.9625","2.9625","2.9625","2.2875","2.2875","2.2875","2.3","2.3","2.3","2.325","2.325","2.325","1.975","1.975","1.975","1.95","1.95","1.95","2.9125","2.9125","2.9125","3.857142857142857","3.857142857142857","3.857142857142857"
"80","2.8375","2.8375","2.8375","2.975","2.975","2.975","2.3125","2.3125","2.3125","2.3375","2.3375","2.3375","2.1625","2.1625","2.1625","2","2","2","2.0125","2.0125","2.0125","2.925","2.925","2.925","3.8450704225352115","3.8450704225352115","3.8450704225352115"
"90","2.8875","2.8875","2.8875","2.975","2.975","2.975","2.325","2.325","2.325","2.4625","2.4625","2.4625","2.625","2.625","2.625","1.9875","1.9875","1.9875","2.0125","2.0125","2.0125","2.9625","2.9625","2.9625","3.820143884892086","3.820143884892086","3.820143884892086"
"100","2.9","2.9","2.9","2.975","2.975","2.975","2.4","2.4","2.4","2.4625","2.4625","2.4625","2.3125","2.3125","2.3125","2","2","2","1.9875","1.9875","1.9875","2.875","2.875","2.875","3.945578231292517","3.945578231292517","3.945578231292517"
"110","2.925","2.925","2.925","2.975","2.975","2.975","2.375","2.375","2.375","2.65","2.65","2.65","2.4375","2.4375","2.4375","2","2","2","1.975","1.975","1.975","2.8375","2.8375","2.8375","3.9194630872483223","3.9194630872483223","3.9194630872483223"
"120","2.9375","2.9375","2.9375","2.9875","2.9875","2.9875","2.5375","2.5375","2.5375","2.5625","2.5625","2.5625","2.475","2.475","2.475","1.9875","1.9875","1.9875","1.975","1.975","1.975","2.9375","2.9375","2.9375","3.925675675675676","3.925675675675676","3.925675675675676"
"130","2.9125","2.9125","2.9125","2.975","2.975","2.975","2.5","2.5","2.5","2.575","2.575","2.575","2.425","2.425","2.425","1.9875","1.9875","1.9875","2","2","2","2.95","2.95","2.95","3.9740259740259742","3.9740259740259742","3.9740259740259742"
"140","2.9875","2.9875","2.9875","2.975","2.975","2.975","2.6","2.6","2.6","2.65","2.65","2.65","2.4375","2.4375","2.4375","2","2","2","1.9625","1.9625","1.9625","2.9375","2.9375","2.9375","3.981012658227848","3.981012658227848","3.981012658227848"
"150","2.9875","2.9875","2.9875","2.975","2.975","2.975","2.55","2.55","2.55","2.625","2.625","2.625","2.5625","2.5625","2.5625","2","2","2","2","2","2","2.975","2.975","2.975","3.9426751592356686","3.9426751592356686","3.9426751592356686"
"160","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","2.525","2.525","2.525","2.675","2.675","2.675","2.575","2.575","2.575","2.0125","2.0125","2.0125","2","2","2","2.95","2.95","2.95","3.9685534591194966","3.9685534591194966","3.9685534591194966"
"170","2.975","2.975","2.975","2.8875","2.8875","2.8875","2.7875","2.7875","2.7875","2.675","2.675","2.675","2.4375","2.4375","2.4375","2","2","2","2","2","2","2.9375","2.9375","2.9375","3.9358974358974357","3.9358974358974357","3.9358974358974357"
"180","2.9875","2.9875","2.9875","2.975","2.975","2.975","2.6375","2.6375","2.6375","2.5625","2.5625","2.5625","2.5375","2.5375","2.5375","2.0125","2.0125","2.0125","2","2","2","2.9375","2.9375","2.9375","3.981132075471698","3.981132075471698","3.981132075471698"
"190","2.975","2.975","2.975","2.9875","2.9875","2.9875","2.575","2.575","2.575","2.6125","2.6125","2.6125","2.6375","2.6375","2.6375","2.0125","2.0125","2.0125","2","2","2","2.9875","2.9875","2.9875","3.981366459627329","3.981366459627329","3.981366459627329"
"200","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","2.7","2.7","2.7","2.6875","2.6875","2.6875","2.775","2.775","2.775","2.025","2.025","2.025","2","2","2","2.9375","2.9375","2.9375","3.963636363636364","3.963636363636364","3.963636363636364"
"210","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","2.7","2.7","2.7","2.75","2.75","2.75","2.7375","2.7375","2.7375","2.0625","2.0625","2.0625","2","2","2","2.9625","2.9625","2.9625","3.970059880239521","3.970059880239521","3.970059880239521"
"220","3","3","3","3","3","3","2.7","2.7","2.7","2.7375","2.7375","2.7375","2.6875","2.6875","2.6875","2.1375","2.1375","2.1375","1.9875","1.9875","1.9875","2.975","2.975","2.975","3.9883040935672516","3.9883040935672516","3.9883040935672516"
"230","2.95","2.95","2.95","2.95","2.95","2.95","2.75","2.75","2.75","2.675","2.675","2.675","2.725","2.725","2.725","2.175","2.175","2.175","1.975","1.975","1.975","2.975","2.975","2.975","3.988888888888889","3.988888888888889","3.988888888888889"
"240","3","3","3","3","3","3","2.4875","2.4875","2.4875","2.7125","2.7125","2.7125","2.675","2.675","2.675","2.2625","2.2625","2.2625","2","2","2","3","3","3","3.989010989010989","3.989010989010989","3.989010989010989"
"250","2.9625","2.9625","2.9625","2.975","2.975","2.975","2.6375","2.6375","2.6375","2.7375","2.7375","2.7375","2.75","2.75","2.75","2.2","2.2","2.2","2","2","2","2.9625","2.9625","2.9625","3.957894736842105","3.957894736842105","3.957894736842105"
"260","3","3","3","3","3","3","2.7625","2.7625","2.7625","2.5875","2.5875","2.5875","2.75","2.75","2.75","2.1875","2.1875","2.1875","1.975","1.975","1.975","2.9625","2.9625","2.9625","3.9744897959183674","3.9744897959183674","3.9744897959183674"
"270","2.975","2.975","2.975","2.9625","2.9625","2.9625","2.5625","2.5625","2.5625","2.7","2.7","2.7","2.75","2.75","2.75","2.275","2.275","2.275","1.9875","1.9875","1.9875","2.9625","2.9625","2.9625","3.96875","3.96875","3.96875"
"280","2.9875","2.9875","2.9875","3","3","3","2.7","2.7","2.7","2.675","2.675","2.675","2.7375","2.7375","2.7375","2.3125","2.3125","2.3125","1.9875","1.9875","1.9875","2.9875","2.9875","2.9875","3.9794871794871796","3.9794871794871796","3.9794871794871796"
"290","3","3","3","3","3","3","2.65","2.65","2.65","2.65","2.65","2.65","2.7375","2.7375","2.7375","2.25","2.25","2.25","1.9875","1.9875","1.9875","2.9875","2.9875","2.9875","3.9536082474226806","3.9536082474226806","3.9536082474226806"
"300","2.9625","2.9625","2.9625","3","3","3","2.7875","2.7875","2.7875","2.625","2.625","2.625","2.7875","2.7875","2.7875","2.3375","2.3375","2.3375","2","2","2","2.975","2.975","2.975","3.984536082474227","3.984536082474227","3.984536082474227"