"Step","2025-05-09_11-10-18_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_42 - eval/avg episode reward","2025-05-09_11-10-18_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_42 - eval/avg episode reward__MIN","2025-05-09_11-10-18_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_42 - eval/avg episode reward__MAX","2025-05-09_11-10-10_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward","2025-05-09_11-10-10_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MIN","2025-05-09_11-10-10_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MAX","2025-05-09_11-10-02_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_0 - eval/avg episode reward","2025-05-09_11-10-02_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MIN","2025-05-09_11-10-02_kitchen-partial-v0_ppo_shortcut_learn_s_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MAX","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MIN","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MAX","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MIN","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MAX","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"0","1.675","1.675","1.675","1.6","1.6","1.6","1.6125","1.6125","1.6125","1.6125","1.6125","1.6125","1.5875","1.5875","1.5875","1.6125","1.6125","1.6125"
"10","1.9146341463414633","1.9146341463414633","1.9146341463414633","0.4375","0.4375","0.4375","1.775","1.775","1.775","1.925","1.925","1.925","1.675","1.675","1.675","2.088888888888889","2.088888888888889","2.088888888888889"
"20","1.6625","1.6625","1.6625","1.8875","1.8875","1.8875","1.8125","1.8125","1.8125","2.1125","2.1125","2.1125","1.9375","1.9375","1.9375","2.736842105263158","2.736842105263158","2.736842105263158"
"30","1.95","1.95","1.95","2.4","2.4","2.4","2","2","2","2.225","2.225","2.225","2.45","2.45","2.45","3.3660714285714284","3.3660714285714284","3.3660714285714284"
"40","1.925","1.925","1.925","2.6125","2.6125","2.6125","2","2","2","2.45","2.45","2.45","2.725","2.725","2.725","3.591666666666667","3.591666666666667","3.591666666666667"
"50","1.9875","1.9875","1.9875","2.725","2.725","2.725","2","2","2","2.625","2.625","2.625","2.9125","2.9125","2.9125","3.705426356589147","3.705426356589147","3.705426356589147"
"60","2.0375","2.0375","2.0375","2.725","2.725","2.725","1.975","1.975","1.975","2.8875","2.8875","2.8875","2.8875","2.8875","2.8875","3.7593984962406015","3.7593984962406015","3.7593984962406015"
"70","2.4375","2.4375","2.4375","2.825","2.825","2.825","1.9875","1.9875","1.9875","2.9","2.9","2.9","2.9625","2.9625","2.9625","3.857142857142857","3.857142857142857","3.857142857142857"
"80","2.7875","2.7875","2.7875","2.825","2.825","2.825","2","2","2","2.8375","2.8375","2.8375","2.975","2.975","2.975","3.8450704225352115","3.8450704225352115","3.8450704225352115"
"90","2.9375","2.9375","2.9375","2.8625","2.8625","2.8625","2.025","2.025","2.025","2.8875","2.8875","2.8875","2.975","2.975","2.975","3.820143884892086","3.820143884892086","3.820143884892086"
"100","2.95","2.95","2.95","2.9","2.9","2.9","1.95","1.95","1.95","2.9","2.9","2.9","2.975","2.975","2.975","3.945578231292517","3.945578231292517","3.945578231292517"
"110","3.0123456790123457","3.0123456790123457","3.0123456790123457","2.9625","2.9625","2.9625","2","2","2","2.925","2.925","2.925","2.975","2.975","2.975","3.9194630872483223","3.9194630872483223","3.9194630872483223"
"120","3","3","3","2.925","2.925","2.925","2","2","2","2.9375","2.9375","2.9375","2.9875","2.9875","2.9875","3.925675675675676","3.925675675675676","3.925675675675676"
"130","3.0125","3.0125","3.0125","2.9625","2.9625","2.9625","2.1625","2.1625","2.1625","2.9125","2.9125","2.9125","2.975","2.975","2.975","3.9740259740259742","3.9740259740259742","3.9740259740259742"
"140","3.0125","3.0125","3.0125","2.9125","2.9125","2.9125","2.275","2.275","2.275","2.9875","2.9875","2.9875","2.975","2.975","2.975","3.981012658227848","3.981012658227848","3.981012658227848"
"150","3.0123456790123457","3.0123456790123457","3.0123456790123457","2.925","2.925","2.925","2.3375","2.3375","2.3375","2.9875","2.9875","2.9875","2.975","2.975","2.975","3.9426751592356686","3.9426751592356686","3.9426751592356686"
"160","3","3","3","3","3","3","2.4875","2.4875","2.4875","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","3.9685534591194966","3.9685534591194966","3.9685534591194966"
"170","3","3","3","3","3","3","2.5375","2.5375","2.5375","2.975","2.975","2.975","2.8875","2.8875","2.8875","3.9358974358974357","3.9358974358974357","3.9358974358974357"
"180","2.9375","2.9375","2.9375","2.95","2.95","2.95","2.625","2.625","2.625","2.9875","2.9875","2.9875","2.975","2.975","2.975","3.981132075471698","3.981132075471698","3.981132075471698"
"190","3.0123456790123457","3.0123456790123457","3.0123456790123457","2.9875","2.9875","2.9875","2.7","2.7","2.7","2.975","2.975","2.975","2.9875","2.9875","2.9875","3.981366459627329","3.981366459627329","3.981366459627329"
"200","2.9875","2.9875","2.9875","3","3","3","2.7","2.7","2.7","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","3.963636363636364","3.963636363636364","3.963636363636364"
"210","3.0588235294117645","3.0588235294117645","3.0588235294117645","2.9375","2.9375","2.9375","2.75","2.75","2.75","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","3.970059880239521","3.970059880239521","3.970059880239521"
"220","3.0357142857142856","3.0357142857142856","3.0357142857142856","2.9875","2.9875","2.9875","2.85","2.85","2.85","3","3","3","3","3","3","3.9883040935672516","3.9883040935672516","3.9883040935672516"
"230","3.070588235294118","3.070588235294118","3.070588235294118","2.975","2.975","2.975","2.775","2.775","2.775","2.95","2.95","2.95","2.95","2.95","2.95","3.988888888888889","3.988888888888889","3.988888888888889"
"240","3.157303370786517","3.157303370786517","3.157303370786517","2.925","2.925","2.925","2.7875","2.7875","2.7875","3","3","3","3","3","3","3.989010989010989","3.989010989010989","3.989010989010989"
"250","3.4210526315789473","3.4210526315789473","3.4210526315789473","2.9375","2.9375","2.9375","2.8875","2.8875","2.8875","2.9625","2.9625","2.9625","2.975","2.975","2.975","3.957894736842105","3.957894736842105","3.957894736842105"
"260","3.5714285714285716","3.5714285714285716","3.5714285714285716","2.975","2.975","2.975","2.9","2.9","2.9","3","3","3","3","3","3","3.9744897959183674","3.9744897959183674","3.9744897959183674"
"270","3.6842105263157894","3.6842105263157894","3.6842105263157894","2.9375","2.9375","2.9375","2.925","2.925","2.925","2.975","2.975","2.975","2.9625","2.9625","2.9625","3.96875","3.96875","3.96875"
"280","3.706896551724138","3.706896551724138","3.706896551724138","2.975","2.975","2.975","2.85","2.85","2.85","2.9875","2.9875","2.9875","3","3","3","3.9794871794871796","3.9794871794871796","3.9794871794871796"
"290","3.857142857142857","3.857142857142857","3.857142857142857","2.9375","2.9375","2.9375","2.825","2.825","2.825","3","3","3","3","3","3","3.9536082474226806","3.9536082474226806","3.9536082474226806"
"300","3.8333333333333335","3.8333333333333335","3.8333333333333335","3","3","3","2.875","2.875","2.875","2.9625","2.9625","2.9625","3","3","3","3.984536082474227","3.984536082474227","3.984536082474227"